,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
961,BP49_NODE_3_length_32202_cov_5_285465,Unassigned,Unassigned,Unassigned,,Overlap (VC_353/VC_354),,,,,,,,,,
962,BP49_NODE_442_length_830_cov_0_203103,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
963,BP49_NODE_447_length_822_cov_0_526391,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
965,BP49_NODE_488_length_782_cov_1_051437,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
966,BP49_NODE_4_length_25564_cov_9_867154,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
967,BP49_NODE_52_length_3011_cov_0_675779,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
969,BP49_NODE_551_length_726_cov_0_360331,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
970,BP49_NODE_618_length_677_cov_0_528777,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
971,BP49_NODE_61_length_2679_cov_0_581314,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
972,BP49_NODE_624_length_673_cov_0_556159,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
973,BP49_NODE_632_length_670_cov_0_663024,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
974,BP49_NODE_648_length_656_cov_0_158879,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
975,BP49_NODE_670_length_640_cov_0_250482,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
976,BP49_NODE_67_length_2581_cov_2_686585,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
978,BP49_NODE_6_length_13426_cov_7_108305,Unassigned,Unassigned,Unassigned,,Overlap (VC_177/VC_634),,,,,,,,,,
979,BP49_NODE_71_length_2515_cov_1_458647,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
980,BP49_NODE_724_length_614_cov_0_409736,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
982,BP49_NODE_751_length_604_cov_0_345756,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
983,BP49_NODE_758_length_603_cov_0_130705,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
984,BP49_NODE_787_length_590_cov_0_334755,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
985,BP49_NODE_795_length_587_cov_0_248927,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
986,BP49_NODE_797_length_585_cov_2_448276,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
987,BP49_NODE_807_length_583_cov_0_430736,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
988,BP49_NODE_80_length_2386_cov_0_604415,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
989,BP49_NODE_811_length_581_cov_0_363043,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
990,BP49_NODE_815_length_580_cov_0_352941,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
991,BP49_NODE_875_length_561_cov_0_361364,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
992,BP49_NODE_87_length_2223_cov_0_771170,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
993,BP49_NODE_884_length_558_cov_0_171625,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
994,BP49_NODE_893_length_555_cov_0_156682,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
996,BP49_NODE_94_length_2136_cov_1_065509,Unassigned,Unassigned,Unassigned,,Overlap (VC_154/VC_292),,,,,,,,,,
997,BP49_NODE_972_length_532_cov_0_301703,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
998,BP49_NODE_98_length_2070_cov_0_956388,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
999,BP50_NODE_101_length_1849_cov_0_717014,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1000,BP50_NODE_1073_length_674_cov_0_840868,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1001,BP50_NODE_109_length_1785_cov_0_591346,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1002,BP50_NODE_10_length_9997_cov_0_998684,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1003,BP50_NODE_1153_length_656_cov_0_157009,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1004,BP50_NODE_115_length_1761_cov_1_062805,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1005,BP50_NODE_119_length_1745_cov_0_524015,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1007,BP50_NODE_1232_length_637_cov_0_519380,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1008,BP50_NODE_124_length_1709_cov_0_481108,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1009,BP50_NODE_1298_length_619_cov_0_373494,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1011,BP50_NODE_1379_length_600_cov_0_154489,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1012,BP50_NODE_13_length_7229_cov_1_948368,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1013,BP50_NODE_1428_length_592_cov_0_180467,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1014,BP50_NODE_1469_length_584_cov_0_408207,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1015,BP50_NODE_146_length_1560_cov_0_214038,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1016,BP50_NODE_1498_length_579_cov_0_288210,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1017,BP50_NODE_149_length_1520_cov_0_822731,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1019,BP50_NODE_1528_length_572_cov_0_281596,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1020,BP50_NODE_1542_length_569_cov_0_194196,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1021,BP50_NODE_1560_length_566_cov_0_224719,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1022,BP50_NODE_158_length_1488_cov_0_573519,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1023,BP50_NODE_15_length_6575_cov_0_726991,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1024,BP50_NODE_1622_length_556_cov_0_377011,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1025,BP50_NODE_1628_length_555_cov_0_334101,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1027,BP50_NODE_1640_length_553_cov_0_243056,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1030,BP50_NODE_1735_length_540_cov_0_245823,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1031,BP50_NODE_1746_length_539_cov_0_138756,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1032,BP50_NODE_1759_length_537_cov_0_250000,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1033,BP50_NODE_177_length_1417_cov_0_420525,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1034,BP50_NODE_1798_length_532_cov_0_214112,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1036,BP50_NODE_181_length_1405_cov_0_619159,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1037,BP50_NODE_1890_length_518_cov_0_075567,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1039,BP50_NODE_1976_length_506_cov_0_838961,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1040,BP50_NODE_19_length_4721_cov_1_725217,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1042,BP50_NODE_2003_length_503_cov_0_277487,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1043,BP50_NODE_2006_length_503_cov_0_167539,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1045,BP50_NODE_232_length_1298_cov_0_421410,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1046,BP50_NODE_235_length_1296_cov_0_547234,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1047,BP50_NODE_23_length_3767_cov_0_644268,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1048,BP50_NODE_24_length_3718_cov_2_870726,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1050,BP50_NODE_25_length_3692_cov_1_150658,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1053,BP50_NODE_29_length_3542_cov_1_038585,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1055,BP50_NODE_32_length_3444_cov_0_635570,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1057,BP50_NODE_375_length_1072_cov_0_662461,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1058,BP50_NODE_37_length_3074_cov_1_704707,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1059,BP50_NODE_39_length_3023_cov_1_057547,Unassigned,Unassigned,Unassigned,,Overlap (VC_167/VC_171),,,,,,,,,,
1062,BP50_NODE_45_length_2713_cov_0_646991,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1063,BP50_NODE_476_length_973_cov_0_353286,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1064,BP50_NODE_487_length_964_cov_0_619217,Unassigned,Unassigned,Unassigned,,Overlap (VC_424/VC_425),,,,,,,,,,
1065,BP50_NODE_494_length_962_cov_0_391201,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1067,BP50_NODE_52_length_2520_cov_0_320133,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1068,BP50_NODE_557_length_915_cov_0_323678,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1069,BP50_NODE_594_length_892_cov_0_189364,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1070,BP50_NODE_59_length_2387_cov_0_407767,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1072,BP50_NODE_682_length_833_cov_0_492978,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1074,BP50_NODE_766_length_792_cov_0_347243,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1075,BP50_NODE_785_length_785_cov_0_394578,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1076,BP50_NODE_78_length_2142_cov_0_499753,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1077,BP50_NODE_7_length_31634_cov_7_148098,Unassigned,Unassigned,Unassigned,,Overlap (VC_168/VC_360),,,,,,,,,,
1078,BP50_NODE_814_length_770_cov_0_281972,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1080,BP50_NODE_88_length_1981_cov_0_393548,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1081,BP50_NODE_8_length_24016_cov_11_623729,Unassigned,Unassigned,Unassigned,,Overlap (VC_168/VC_170),,,,,,,,,,
1082,BP50_NODE_9_length_21949_cov_6_153656,Unassigned,Unassigned,Unassigned,,Overlap (VC_168/VC_170),,,,,,,,,,
1083,BP5_NODE_45_length_671_cov_1_221818,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1085,BP8_NODE_221_length_507_cov_0_621762,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1086,BP8_NODE_5_length_4173_cov_9_244571,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1087,BP8_NODE_7_length_2798_cov_6_058648,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1089,BP9_NODE_16_length_1376_cov_0_393625,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1090,BP9_NODE_33_length_1092_cov_0_629248,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1091,BP9_NODE_4_length_2125_cov_0_408683,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1092,BP9_NODE_62_length_826_cov_0_489362,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1098,Bacillus~phage~BCD7,Caudovirales,Myoviridae,Unassigned,,Outlier,,,,,,,,,,
1105,Bacillus~phage~BalMu-1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1113,Bacillus~phage~BtCS33,Caudovirales,Siphoviridae,Unassigned,,Overlap (VC_437/VC_438),,,,,,,,,,
1115,Bacillus~phage~CP-51,Caudovirales,Myoviridae,Cp51virus,,Overlap (VC_179/VC_180),,,,,,,,,,
1131,Bacillus~phage~JL,Caudovirales,Myoviridae,Cp51virus,,Overlap (VC_179/VC_180),,,,,,,,,,
1140,Bacillus~phage~PBC1,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1141,Bacillus~phage~PM1,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1151,Bacillus~phage~SP-10,Caudovirales,Myoviridae,Unassigned,,Outlier,,,,,,,,,,
1154,Bacillus~phage~SPG24,Caudovirales,Myoviridae,Nit1virus,,Outlier,,,,,,,,,,
1158,Bacillus~phage~Shanette,Caudovirales,Myoviridae,Cp51virus,,Overlap (VC_179/VC_180),,,,,,,,,,
1171,Bacillus~phage~Waukesha92,Caudovirales,Siphoviridae,Unassigned,,Overlap (VC_437/VC_438/VC_445),,,,,,,,,,
1174,Bacillus~phage~phBC6A51,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1175,Bacillus~phage~phBC6A52,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1176,Bacillus~phage~phIS3501,Caudovirales,Siphoviridae,Unassigned,,Overlap (VC_437/VC_438),,,,,,,,,,
1177,Bacillus~phage~phi105,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1178,Bacillus~phage~phi4B1,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1179,Bacillus~phage~phi4J1,Caudovirales,Siphoviridae,Unassigned,,Overlap (VC_437/VC_438/VC_445),,,,,,,,,,
1181,Bacillus~phage~phiCM3,Caudovirales,Siphoviridae,Unassigned,,Overlap (VC_437/VC_438),,,,,,,,,,
1185,Bacillus~phage~vB_BhaS-171,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1186,Bacillus~phage~vB_BtS_BMBtp3,Caudovirales,Siphoviridae,Unassigned,,Overlap (VC_437/VC_438/VC_445),,,,,,,,,,
1206,Bacteriophage~Lily,Caudovirales,Siphoviridae,Unassigned,,Outlier,,,,,,,,,,
1210,Bdellovibrio~phage~phi1422,Caudovirales,Myoviridae,Unassigned,,Outlier,,,,,,,,,,
1212,BeeP-02-2013_NODE_21_length_1023_cov_1_140592,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1213,BeeP-02-2013_NODE_87_length_550_cov_0_934461,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1214,BeeP-05-2013_NODE_101_length_2433_cov_9_502547,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1216,BeeP-05-2013_NODE_11_length_8561_cov_19_251414,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1218,BeeP-05-2013_NODE_124_length_2119_cov_4_335945,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1219,BeeP-05-2013_NODE_125_length_2118_cov_6_977462,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1220,BeeP-05-2013_NODE_138_length_2001_cov_4_314449,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1222,BeeP-05-2013_NODE_144_length_1973_cov_7_103903,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1223,BeeP-05-2013_NODE_161_length_1838_cov_3_601931,Unassigned,Unassigned,Unassigned,,Overlap (VC_421/VC_642),,,,,,,,,,
1224,BeeP-05-2013_NODE_16_length_7352_cov_6_741581,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1227,BeeP-05-2013_NODE_181_length_1745_cov_7_948441,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1228,BeeP-05-2013_NODE_185_length_1724_cov_3_711597,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1229,BeeP-05-2013_NODE_18_length_6955_cov_10_567607,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1231,BeeP-05-2013_NODE_198_length_1663_cov_4_357503,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1233,BeeP-05-2013_NODE_1_length_24014_cov_51_703054,Unassigned,Unassigned,Unassigned,,Overlap (VC_237/VC_253),,,,,,,,,,
1235,BeeP-05-2013_NODE_21_length_6013_cov_6_524933,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1236,BeeP-05-2013_NODE_237_length_1432_cov_2_048708,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1237,BeeP-05-2013_NODE_246_length_1389_cov_2_635671,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1240,BeeP-05-2013_NODE_278_length_1292_cov_6_314403,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1241,BeeP-05-2013_NODE_293_length_1248_cov_2_661827,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1243,BeeP-05-2013_NODE_322_length_1168_cov_2_208066,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1244,BeeP-05-2013_NODE_338_length_1137_cov_2_747170,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1245,BeeP-05-2013_NODE_347_length_1123_cov_2_903442,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1246,BeeP-05-2013_NODE_349_length_1117_cov_1_774038,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1247,BeeP-05-2013_NODE_34_length_4095_cov_5_204828,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1249,BeeP-05-2013_NODE_375_length_1065_cov_5_042510,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1251,BeeP-05-2013_NODE_380_length_1051_cov_1_866530,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1252,BeeP-05-2013_NODE_39_length_3826_cov_9_504935,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1253,BeeP-05-2013_NODE_3_length_12110_cov_24_977562,Unassigned,Unassigned,Unassigned,,Overlap (VC_268/VC_503/VC_634),,,,,,,,,,
1254,BeeP-05-2013_NODE_429_length_944_cov_3_618224,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1255,BeeP-05-2013_NODE_434_length_930_cov_3_643611,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1256,BeeP-05-2013_NODE_440_length_921_cov_2_396919,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1257,BeeP-05-2013_NODE_446_length_909_cov_4_312500,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1258,BeeP-05-2013_NODE_449_length_903_cov_2_449153,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1259,BeeP-05-2013_NODE_464_length_876_cov_2_152691,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1260,BeeP-05-2013_NODE_470_length_865_cov_1_110406,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1262,BeeP-05-2013_NODE_47_length_3542_cov_10_371140,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1263,BeeP-05-2013_NODE_486_length_842_cov_1_997386,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1264,BeeP-05-2013_NODE_487_length_838_cov_1_802891,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1265,BeeP-05-2013_NODE_495_length_832_cov_1_847682,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1266,BeeP-05-2013_NODE_530_length_791_cov_2_813725,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1267,BeeP-05-2013_NODE_540_length_779_cov_1_457265,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1269,BeeP-05-2013_NODE_555_length_762_cov_2_693431,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1270,BeeP-05-2013_NODE_559_length_760_cov_1_853587,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1271,BeeP-05-2013_NODE_582_length_745_cov_1_853293,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1272,BeeP-05-2013_NODE_599_length_729_cov_1_130368,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1274,BeeP-05-2013_NODE_607_length_719_cov_1_573209,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1275,BeeP-05-2013_NODE_61_length_3203_cov_3_885157,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1276,BeeP-05-2013_NODE_655_length_679_cov_2_338870,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1277,BeeP-05-2013_NODE_659_length_675_cov_1_658863,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1279,BeeP-05-2013_NODE_694_length_651_cov_2_125436,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1280,BeeP-05-2013_NODE_696_length_649_cov_2_477273,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1282,BeeP-05-2013_NODE_716_length_629_cov_2_677536,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1283,BeeP-05-2013_NODE_72_length_2961_cov_6_250000,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1284,BeeP-05-2013_NODE_737_length_615_cov_1_672862,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1285,BeeP-05-2013_NODE_738_length_615_cov_1_157993,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1286,BeeP-05-2013_NODE_756_length_598_cov_2_101727,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1287,BeeP-05-2013_NODE_765_length_594_cov_1_437137,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1288,BeeP-05-2013_NODE_786_length_587_cov_1_352941,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1289,BeeP-05-2013_NODE_789_length_585_cov_1_576772,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1290,BeeP-05-2013_NODE_803_length_578_cov_2_802395,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1291,BeeP-05-2013_NODE_813_length_571_cov_5_483806,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1292,BeeP-05-2013_NODE_81_length_2744_cov_2_762280,Unassigned,Unassigned,Unassigned,,Overlap (VC_51/VC_138/VC_139),,,,,,,,,,
1293,BeeP-05-2013_NODE_84_length_2674_cov_5_428186,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1295,BeeP-05-2013_NODE_861_length_549_cov_1_042373,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1296,BeeP-05-2013_NODE_862_length_549_cov_0_934322,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1297,BeeP-05-2013_NODE_864_length_548_cov_1_070064,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1299,BeeP-05-2013_NODE_871_length_543_cov_4_163090,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1300,BeeP-05-2013_NODE_877_length_538_cov_1_555315,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1302,BeeP-05-2013_NODE_947_length_510_cov_1_023095,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1304,BeeP-05-2013_NODE_969_length_501_cov_1_259434,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1305,BeeP-05-2013_NODE_98_length_2457_cov_2_142017,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1308,BeeP-06-2013_NODE_107_length_2108_cov_4_967011,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1309,BeeP-06-2013_NODE_113_length_2073_cov_5_058116,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1310,BeeP-06-2013_NODE_124_length_2005_cov_2_720954,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1312,BeeP-06-2013_NODE_167_length_1655_cov_4_614702,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1313,BeeP-06-2013_NODE_179_length_1603_cov_6_266710,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1315,BeeP-06-2013_NODE_214_length_1396_cov_4_003033,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1316,BeeP-06-2013_NODE_215_length_1395_cov_9_066009,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1317,BeeP-06-2013_NODE_231_length_1333_cov_4_587580,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1318,BeeP-06-2013_NODE_269_length_1216_cov_5_694469,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1319,BeeP-06-2013_NODE_281_length_1186_cov_3_077547,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1320,BeeP-06-2013_NODE_282_length_1177_cov_7_468182,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1321,BeeP-06-2013_NODE_287_length_1154_cov_2_399257,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1323,BeeP-06-2013_NODE_339_length_1037_cov_3_355208,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1324,BeeP-06-2013_NODE_359_length_990_cov_2_564074,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1327,BeeP-06-2013_NODE_398_length_923_cov_1_595745,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1329,BeeP-06-2013_NODE_438_length_866_cov_3_221800,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1330,BeeP-06-2013_NODE_476_length_815_cov_1_485095,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1332,BeeP-06-2013_NODE_52_length_2869_cov_6_349212,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1333,BeeP-06-2013_NODE_533_length_771_cov_1_740634,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1334,BeeP-06-2013_NODE_540_length_764_cov_1_542940,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1335,BeeP-06-2013_NODE_546_length_759_cov_5_856305,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1336,BeeP-06-2013_NODE_55_length_2745_cov_13_562969,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
1337,BeeP-06-2013_NODE_618_length_681_cov_2_246689,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
1338,BeeP-06-2013_NODE_654_length_643_cov_2_212014,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
