,Group
BeeP-11-2013_NODE_4029_length_808_cov_1_998632,Low coverage
BeeP-11-2013_NODE_4039_length_807_cov_2_435616,Low coverage
BeeP-11-2013_NODE_4043_length_806_cov_5_854595,Low coverage
BeeP-11-2013_NODE_4057_length_805_cov_3_104396,Low coverage
BeeP-11-2013_NODE_4060_length_805_cov_2_560440,Low coverage
BeeP-11-2013_NODE_4069_length_804_cov_2_689133,Low coverage
BeeP-11-2013_NODE_4070_length_804_cov_2_383769,Low coverage
BeeP-11-2013_NODE_4083_length_802_cov_4_033103,Low coverage
BeeP-11-2013_NODE_4087_length_802_cov_1_649655,Low coverage
BeeP-11-2013_NODE_4089_length_801_cov_2_450276,Low coverage
BeeP-11-2013_NODE_4094_length_800_cov_4_715076,Low coverage
BeeP-11-2013_NODE_4097_length_800_cov_4_515906,Low coverage
BeeP-11-2013_NODE_4103_length_800_cov_2_466113,High coverage
BeeP-11-2013_NODE_4106_length_799_cov_2_638504,Low coverage
BeeP-11-2013_NODE_4108_length_799_cov_2_544321,Low coverage
BeeP-11-2013_NODE_4112_length_799_cov_1_596953,Low coverage
BeeP-11-2013_NODE_4113_length_799_cov_1_365651,Low coverage
BeeP-11-2013_NODE_4115_length_798_cov_8_237171,Low coverage
BeeP-11-2013_NODE_4119_length_798_cov_3_886269,Low coverage
BeeP-11-2013_NODE_4120_length_798_cov_2_862691,Low coverage
BeeP-11-2013_NODE_4128_length_797_cov_6_312500,Low coverage
BeeP-11-2013_NODE_4129_length_797_cov_3_156944,Low coverage
BeeP-11-2013_NODE_4133_length_797_cov_2_309722,Low coverage
BeeP-11-2013_NODE_4152_length_794_cov_7_347280,Low coverage
BeeP-11-2013_NODE_4153_length_794_cov_6_683403,Low coverage
BeeP-11-2013_NODE_4155_length_794_cov_4_284519,Low coverage
BeeP-11-2013_NODE_4161_length_793_cov_6_635475,Low coverage
BeeP-11-2013_NODE_4164_length_793_cov_3_229050,Low coverage
BeeP-11-2013_NODE_4166_length_793_cov_2_783520,Low coverage
BeeP-11-2013_NODE_4168_length_793_cov_2_606145,Low coverage
BeeP-11-2013_NODE_4169_length_793_cov_1_648045,Low coverage
BeeP-11-2013_NODE_4171_length_792_cov_5_384615,Low coverage
BeeP-11-2013_NODE_4172_length_792_cov_4_072727,Low coverage
BeeP-11-2013_NODE_4174_length_792_cov_3_532867,Low coverage
BeeP-11-2013_NODE_4179_length_792_cov_1_928671,Low coverage
BeeP-11-2013_NODE_4182_length_791_cov_5_431373,Low coverage
BeeP-11-2013_NODE_4183_length_791_cov_3_212885,Low coverage
BeeP-11-2013_NODE_4187_length_791_cov_1_547619,Low coverage
BeeP-11-2013_NODE_4188_length_790_cov_8_110799,Low coverage
BeeP-11-2013_NODE_4192_length_790_cov_3_046283,Low coverage
BeeP-11-2013_NODE_4193_length_790_cov_2_287518,Low coverage
BeeP-11-2013_NODE_4195_length_790_cov_2_053296,Low coverage
BeeP-11-2013_NODE_4204_length_789_cov_2_568820,Low coverage
BeeP-11-2013_NODE_4207_length_789_cov_1_985955,Low coverage
BeeP-11-2013_NODE_4213_length_789_cov_1_553371,High coverage
BeeP-11-2013_NODE_4219_length_788_cov_3_203938,Low coverage
BeeP-11-2013_NODE_4222_length_788_cov_2_390999,Low coverage
BeeP-11-2013_NODE_4224_length_788_cov_1_658228,Low coverage
BeeP-11-2013_NODE_4231_length_787_cov_3_498592,Low coverage
BeeP-11-2013_NODE_4234_length_787_cov_1_773239,Low coverage
BeeP-11-2013_NODE_4238_length_786_cov_6_791255,Low coverage
BeeP-11-2013_NODE_4240_length_786_cov_4_157969,Low coverage
BeeP-11-2013_NODE_4244_length_786_cov_2_273625,Low coverage
BeeP-11-2013_NODE_4247_length_786_cov_1_204513,Low coverage
BeeP-11-2013_NODE_4252_length_785_cov_3_485876,Low coverage
BeeP-11-2013_NODE_4253_length_785_cov_3_355932,Low coverage
BeeP-11-2013_NODE_4256_length_785_cov_2_637006,Low coverage
BeeP-11-2013_NODE_4260_length_785_cov_1_336158,Low coverage
BeeP-11-2013_NODE_4263_length_784_cov_4_227723,Low coverage
BeeP-11-2013_NODE_4265_length_784_cov_3_264498,Low coverage
BeeP-11-2013_NODE_4267_length_784_cov_2_401697,Low coverage
BeeP-11-2013_NODE_4270_length_784_cov_2_100424,Low coverage
BeeP-11-2013_NODE_4273_length_783_cov_5_565156,Low coverage
BeeP-11-2013_NODE_4274_length_783_cov_3_043909,Low coverage
BeeP-11-2013_NODE_4281_length_782_cov_5_007092,Low coverage
BeeP-11-2013_NODE_4282_length_782_cov_3_134752,Low coverage
BeeP-11-2013_NODE_4284_length_782_cov_2_696454,Low coverage
BeeP-11-2013_NODE_4288_length_781_cov_12_843750,Low coverage
BeeP-11-2013_NODE_4290_length_781_cov_5_541193,Low coverage
BeeP-11-2013_NODE_4296_length_781_cov_2_468750,Low coverage
BeeP-11-2013_NODE_4303_length_780_cov_3_779516,Low coverage
BeeP-11-2013_NODE_4305_length_780_cov_2_008535,Low coverage
BeeP-11-2013_NODE_4317_length_778_cov_4_543509,Low coverage
BeeP-11-2013_NODE_4322_length_778_cov_2_547789,Low coverage
BeeP-11-2013_NODE_4335_length_777_cov_4_032857,Low coverage
BeeP-11-2013_NODE_4347_length_776_cov_4_001431,Low coverage
BeeP-11-2013_NODE_4348_length_776_cov_3_635193,Low coverage
BeeP-11-2013_NODE_4354_length_776_cov_1_834049,Low coverage
BeeP-11-2013_NODE_4360_length_775_cov_1_573066,Low coverage
BeeP-11-2013_NODE_4362_length_774_cov_4_936872,Low coverage
BeeP-11-2013_NODE_4367_length_773_cov_9_938218,Low coverage
BeeP-11-2013_NODE_4375_length_773_cov_2_495690,Low coverage
BeeP-11-2013_NODE_4383_length_773_cov_1_636494,Low coverage
BeeP-11-2013_NODE_4384_length_773_cov_1_081897,Low coverage
BeeP-11-2013_NODE_4391_length_771_cov_7_293948,Low coverage
BeeP-11-2013_NODE_4399_length_771_cov_1_894813,Low coverage
BeeP-11-2013_NODE_4407_length_770_cov_3_594517,Low coverage
BeeP-11-2013_NODE_4409_length_770_cov_2_875902,Low coverage
BeeP-11-2013_NODE_4411_length_770_cov_1_748918,Low coverage
BeeP-11-2013_NODE_4416_length_769_cov_4_092486,Low coverage
BeeP-11-2013_NODE_4423_length_769_cov_1_356936,Low coverage
BeeP-11-2013_NODE_4425_length_768_cov_14_580318,Low coverage
BeeP-11-2013_NODE_4435_length_767_cov_4_375362,Low coverage
BeeP-11-2013_NODE_4441_length_767_cov_1_401449,Low coverage
BeeP-11-2013_NODE_4450_length_765_cov_5_584302,Low coverage
BeeP-11-2013_NODE_4454_length_765_cov_2_959302,Low coverage
BeeP-11-2013_NODE_4456_length_765_cov_2_225291,Low coverage
BeeP-11-2013_NODE_4459_length_765_cov_1_058140,Low coverage
BeeP-11-2013_NODE_4467_length_764_cov_2_235808,Low coverage
BeeP-11-2013_NODE_4478_length_763_cov_3_889213,Low coverage
BeeP-11-2013_NODE_4482_length_763_cov_1_838192,Low coverage
BeeP-11-2013_NODE_4492_length_762_cov_3_220438,Low coverage
BeeP-11-2013_NODE_4497_length_762_cov_1_710949,Low coverage
BeeP-11-2013_NODE_4500_length_761_cov_4_191520,Low coverage
BeeP-11-2013_NODE_4507_length_761_cov_2_359649,Low coverage
BeeP-11-2013_NODE_4510_length_760_cov_2_642753,Low coverage
BeeP-11-2013_NODE_4519_length_760_cov_1_594436,Low coverage
BeeP-11-2013_NODE_4525_length_759_cov_3_460411,Low coverage
BeeP-11-2013_NODE_4526_length_759_cov_2_986804,Low coverage
BeeP-11-2013_NODE_4538_length_757_cov_6_873529,Low coverage
BeeP-11-2013_NODE_4543_length_757_cov_2_977941,Low coverage
BeeP-11-2013_NODE_4552_length_756_cov_10_898380,Low coverage
BeeP-11-2013_NODE_4553_length_756_cov_8_354934,Low coverage
BeeP-11-2013_NODE_4556_length_756_cov_1_815906,Low coverage
BeeP-11-2013_NODE_4558_length_755_cov_5_393805,Low coverage
BeeP-11-2013_NODE_4559_length_755_cov_4_460177,Low coverage
BeeP-11-2013_NODE_4563_length_755_cov_2_861357,Low coverage
BeeP-11-2013_NODE_4570_length_755_cov_1_603245,Low coverage
BeeP-11-2013_NODE_4572_length_755_cov_1_368732,Low coverage
BeeP-11-2013_NODE_4573_length_754_cov_8_214180,Low coverage
BeeP-11-2013_NODE_4580_length_754_cov_2_661743,Low coverage
BeeP-11-2013_NODE_4581_length_754_cov_2_338257,Low coverage
BeeP-11-2013_NODE_4582_length_754_cov_2_224520,Low coverage
BeeP-11-2013_NODE_4601_length_753_cov_1_656805,Low coverage
BeeP-11-2013_NODE_4617_length_751_cov_3_277448,Low coverage
BeeP-11-2013_NODE_4630_length_750_cov_2_459138,Low coverage
BeeP-11-2013_NODE_4641_length_749_cov_2_651786,Low coverage
BeeP-11-2013_NODE_4646_length_749_cov_1_297619,Low coverage
BeeP-11-2013_NODE_4647_length_749_cov_1_232143,Low coverage
BeeP-11-2013_NODE_4648_length_748_cov_5_643815,Low coverage
BeeP-11-2013_NODE_4651_length_748_cov_3_700447,Low coverage
BeeP-11-2013_NODE_4668_length_747_cov_2_044776,Low coverage
BeeP-11-2013_NODE_4677_length_746_cov_3_215247,Low coverage
BeeP-11-2013_NODE_4681_length_746_cov_2_512706,Low coverage
BeeP-11-2013_NODE_4682_length_746_cov_2_390135,Low coverage
BeeP-11-2013_NODE_4686_length_746_cov_1_485800,Low coverage
BeeP-11-2013_NODE_4691_length_745_cov_8_468563,Low coverage
BeeP-11-2013_NODE_4693_length_745_cov_3_836826,Low coverage
BeeP-11-2013_NODE_4696_length_745_cov_1_760479,Low coverage
BeeP-11-2013_NODE_4698_length_745_cov_1_303892,Low coverage
BeeP-11-2013_NODE_4704_length_744_cov_3_028486,Low coverage
BeeP-11-2013_NODE_4706_length_744_cov_2_358321,Low coverage
BeeP-11-2013_NODE_4709_length_744_cov_1_929535,Low coverage
BeeP-11-2013_NODE_4717_length_743_cov_2_917417,Low coverage
BeeP-11-2013_NODE_4719_length_743_cov_2_129129,Low coverage
BeeP-11-2013_NODE_4720_length_743_cov_1_954955,Low coverage
BeeP-11-2013_NODE_4723_length_742_cov_12_233083,Low coverage
BeeP-11-2013_NODE_4736_length_741_cov_12_917169,Low coverage
BeeP-11-2013_NODE_4737_length_741_cov_5_510542,Low coverage
BeeP-11-2013_NODE_4739_length_741_cov_3_775602,Low coverage
BeeP-11-2013_NODE_4740_length_741_cov_2_817771,Low coverage
BeeP-11-2013_NODE_4754_length_739_cov_5_506042,Low coverage
BeeP-11-2013_NODE_4755_length_739_cov_3_930514,Low coverage
BeeP-11-2013_NODE_4757_length_739_cov_3_799094,Low coverage
BeeP-11-2013_NODE_4762_length_739_cov_1_504532,Low coverage
BeeP-11-2013_NODE_4765_length_738_cov_6_099849,Low coverage
BeeP-11-2013_NODE_4766_length_738_cov_4_334342,Low coverage
BeeP-11-2013_NODE_4769_length_738_cov_2_756430,Low coverage
BeeP-11-2013_NODE_4777_length_738_cov_1_839637,Low coverage
BeeP-11-2013_NODE_4778_length_738_cov_1_393343,Low coverage
BeeP-11-2013_NODE_4783_length_737_cov_2_930303,Low coverage
BeeP-11-2013_NODE_4792_length_737_cov_1_109091,Low coverage
BeeP-11-2013_NODE_4793_length_737_cov_0_860606,Low coverage
BeeP-11-2013_NODE_4810_length_735_cov_2_351064,Low coverage
BeeP-11-2013_NODE_4811_length_735_cov_2_343465,Low coverage
BeeP-11-2013_NODE_4816_length_734_cov_9_021309,Low coverage
BeeP-11-2013_NODE_4817_length_734_cov_7_773212,Low coverage
BeeP-11-2013_NODE_4837_length_732_cov_2_348092,Low coverage
BeeP-11-2013_NODE_4838_length_732_cov_2_192366,Low coverage
BeeP-11-2013_NODE_4840_length_732_cov_1_964885,Low coverage
BeeP-11-2013_NODE_4841_length_732_cov_1_766412,Low coverage
BeeP-11-2013_NODE_4849_length_731_cov_2_992355,Low coverage
BeeP-11-2013_NODE_4857_length_730_cov_4_234303,Low coverage
BeeP-11-2013_NODE_4869_length_730_cov_1_978560,Low coverage
BeeP-11-2013_NODE_4874_length_729_cov_6_116564,Low coverage
BeeP-11-2013_NODE_4876_length_729_cov_4_098160,Low coverage
BeeP-11-2013_NODE_4880_length_729_cov_2_343558,Low coverage
BeeP-11-2013_NODE_4882_length_729_cov_2_124233,Low coverage
BeeP-11-2013_NODE_4890_length_728_cov_2_634409,Low coverage
BeeP-11-2013_NODE_4906_length_727_cov_1_835385,Low coverage
BeeP-11-2013_NODE_4910_length_727_cov_1_384615,Low coverage
BeeP-11-2013_NODE_4918_length_726_cov_3_480740,Low coverage
BeeP-11-2013_NODE_4932_length_725_cov_4_771605,Low coverage
BeeP-11-2013_NODE_4937_length_725_cov_1_691358,Low coverage
BeeP-11-2013_NODE_4939_length_724_cov_5_233385,Low coverage
BeeP-11-2013_NODE_4950_length_724_cov_1_720247,Low coverage
BeeP-11-2013_NODE_4958_length_723_cov_1_928793,Low coverage
BeeP-11-2013_NODE_4961_length_723_cov_1_091331,Low coverage
BeeP-11-2013_NODE_4965_length_722_cov_2_596899,Low coverage
BeeP-11-2013_NODE_4967_length_722_cov_1_917829,Low coverage
BeeP-11-2013_NODE_4969_length_722_cov_1_683721,Low coverage
BeeP-11-2013_NODE_4976_length_721_cov_5_192547,Low coverage
BeeP-11-2013_NODE_4978_length_721_cov_4_288820,Low coverage
BeeP-11-2013_NODE_4979_length_721_cov_3_619565,Low coverage
BeeP-11-2013_NODE_4980_length_721_cov_3_616460,Low coverage
BeeP-11-2013_NODE_4982_length_721_cov_3_268634,Low coverage
BeeP-11-2013_NODE_4988_length_721_cov_1_596273,Low coverage
BeeP-11-2013_NODE_4995_length_720_cov_2_726283,Low coverage
BeeP-11-2013_NODE_5001_length_720_cov_2_295490,Low coverage
BeeP-11-2013_NODE_5005_length_720_cov_1_702955,Low coverage
BeeP-11-2013_NODE_5006_length_720_cov_1_690513,Low coverage
BeeP-11-2013_NODE_5012_length_719_cov_3_789720,Low coverage
BeeP-11-2013_NODE_5013_length_719_cov_3_323988,Low coverage
BeeP-11-2013_NODE_5025_length_718_cov_5_620905,Low coverage
BeeP-11-2013_NODE_5028_length_718_cov_4_290172,Low coverage
BeeP-11-2013_NODE_5029_length_718_cov_4_074883,Low coverage
BeeP-11-2013_NODE_5031_length_718_cov_3_819033,Low coverage
BeeP-11-2013_NODE_5063_length_716_cov_4_909233,Low coverage
BeeP-11-2013_NODE_5070_length_716_cov_1_039124,Low coverage
BeeP-11-2013_NODE_5073_length_715_cov_4_388715,Low coverage
BeeP-11-2013_NODE_5078_length_715_cov_2_136364,Low coverage
BeeP-11-2013_NODE_5082_length_715_cov_1_909091,Low coverage
BeeP-11-2013_NODE_5085_length_714_cov_6_281005,Low coverage
BeeP-11-2013_NODE_5089_length_714_cov_3_562009,Low coverage
BeeP-11-2013_NODE_5090_length_714_cov_2_938776,Low coverage
BeeP-11-2013_NODE_5092_length_714_cov_1_832025,Low coverage
BeeP-11-2013_NODE_5093_length_714_cov_1_786499,Low coverage
BeeP-11-2013_NODE_5098_length_713_cov_6_305031,Low coverage
BeeP-11-2013_NODE_5101_length_713_cov_3_327044,Low coverage
BeeP-11-2013_NODE_5105_length_713_cov_2_783019,Low coverage
BeeP-11-2013_NODE_5123_length_712_cov_3_658268,Low coverage
BeeP-11-2013_NODE_5127_length_712_cov_2_656693,Low coverage
BeeP-11-2013_NODE_5129_length_712_cov_2_423622,Low coverage
BeeP-11-2013_NODE_5140_length_711_cov_11_378549,Low coverage
BeeP-11-2013_NODE_5145_length_711_cov_3_618297,Low coverage
BeeP-11-2013_NODE_5148_length_711_cov_2_832808,Low coverage
BeeP-11-2013_NODE_5153_length_711_cov_1_422713,Low coverage
BeeP-11-2013_NODE_5154_length_711_cov_1_108833,Low coverage
BeeP-11-2013_NODE_5162_length_710_cov_1_644550,Low coverage
BeeP-11-2013_NODE_5166_length_709_cov_4_512658,Low coverage
BeeP-11-2013_NODE_5173_length_709_cov_2_265823,Low coverage
BeeP-11-2013_NODE_5174_length_709_cov_2_174051,Low coverage
BeeP-11-2013_NODE_5175_length_709_cov_1_743671,Low coverage
BeeP-11-2013_NODE_5183_length_708_cov_3_142631,Low coverage
BeeP-11-2013_NODE_5184_length_708_cov_2_838352,Low coverage
BeeP-11-2013_NODE_5185_length_708_cov_2_713154,Low coverage
BeeP-11-2013_NODE_5202_length_707_cov_2_512698,Low coverage
BeeP-11-2013_NODE_5211_length_706_cov_4_243243,Low coverage
BeeP-11-2013_NODE_5219_length_705_cov_6_745223,Low coverage
BeeP-11-2013_NODE_5224_length_705_cov_2_829618,Low coverage
BeeP-11-2013_NODE_5225_length_705_cov_2_805732,Low coverage
BeeP-11-2013_NODE_5233_length_704_cov_4_496013,Low coverage
BeeP-11-2013_NODE_5234_length_704_cov_4_148325,Low coverage
BeeP-11-2013_NODE_5236_length_704_cov_3_893142,Low coverage
BeeP-11-2013_NODE_5243_length_704_cov_2_236045,Low coverage
BeeP-11-2013_NODE_5246_length_704_cov_1_421053,Low coverage
BeeP-11-2013_NODE_5266_length_702_cov_7_092800,Low coverage
BeeP-11-2013_NODE_5270_length_702_cov_4_225600,Low coverage
BeeP-11-2013_NODE_5272_length_702_cov_4_049600,Low coverage
BeeP-11-2013_NODE_5274_length_702_cov_3_625600,Low coverage
BeeP-11-2013_NODE_5284_length_702_cov_1_617600,Low coverage
BeeP-11-2013_NODE_5286_length_702_cov_1_563200,Low coverage
BeeP-11-2013_NODE_5287_length_702_cov_1_315200,Low coverage
BeeP-11-2013_NODE_5294_length_701_cov_1_831731,Low coverage
BeeP-11-2013_NODE_5307_length_700_cov_1_454254,Low coverage
BeeP-11-2013_NODE_5308_length_700_cov_1_284109,Low coverage
BeeP-11-2013_NODE_5310_length_699_cov_20_755627,Low coverage
BeeP-11-2013_NODE_5314_length_699_cov_3_548232,Low coverage
BeeP-11-2013_NODE_5317_length_699_cov_1_927653,Low coverage
BeeP-11-2013_NODE_5318_length_699_cov_1_927653,Low coverage
BeeP-11-2013_NODE_5319_length_699_cov_1_818328,Low coverage
BeeP-11-2013_NODE_5352_length_696_cov_6_408724,Low coverage
BeeP-11-2013_NODE_5388_length_694_cov_4_372771,Low coverage
BeeP-11-2013_NODE_5395_length_694_cov_1_632091,Low coverage
BeeP-11-2013_NODE_5401_length_693_cov_2_797078,Low coverage
BeeP-11-2013_NODE_5406_length_693_cov_1_803571,Low coverage
BeeP-11-2013_NODE_5411_length_692_cov_4_897561,Low coverage
BeeP-11-2013_NODE_5423_length_692_cov_1_811382,Low coverage
BeeP-11-2013_NODE_5424_length_692_cov_1_533333,Low coverage
BeeP-11-2013_NODE_5430_length_691_cov_4_527687,Low coverage
BeeP-11-2013_NODE_5437_length_691_cov_2_469055,Low coverage
BeeP-11-2013_NODE_5439_length_691_cov_2_306189,Low coverage
BeeP-11-2013_NODE_5445_length_690_cov_4_407830,Low coverage
BeeP-11-2013_NODE_5449_length_690_cov_3_011419,Low coverage
BeeP-11-2013_NODE_5454_length_690_cov_2_287113,Low coverage
BeeP-11-2013_NODE_5457_length_690_cov_1_973899,Low coverage
BeeP-11-2013_NODE_5459_length_690_cov_1_474715,Low coverage
BeeP-11-2013_NODE_5464_length_689_cov_2_831699,Low coverage
BeeP-11-2013_NODE_5465_length_689_cov_2_553922,Low coverage
BeeP-11-2013_NODE_5470_length_689_cov_1_998366,Low coverage
BeeP-11-2013_NODE_5476_length_688_cov_4_021277,Low coverage
BeeP-11-2013_NODE_5492_length_687_cov_4_481967,Low coverage
BeeP-11-2013_NODE_5494_length_687_cov_2_927869,Low coverage
BeeP-11-2013_NODE_5504_length_686_cov_5_517241,Low coverage
BeeP-11-2013_NODE_5511_length_686_cov_2_308703,Low coverage
BeeP-11-2013_NODE_5523_length_685_cov_2_828947,Low coverage
BeeP-11-2013_NODE_5526_length_685_cov_1_850329,Low coverage
BeeP-11-2013_NODE_5530_length_685_cov_1_389803,Low coverage
BeeP-11-2013_NODE_5537_length_684_cov_4_912685,Low coverage
BeeP-11-2013_NODE_5538_length_684_cov_4_481054,Low coverage
BeeP-11-2013_NODE_5560_length_683_cov_2_211221,Low coverage
BeeP-11-2013_NODE_5561_length_683_cov_1_968647,Low coverage
BeeP-11-2013_NODE_5567_length_682_cov_8_742149,Low coverage
BeeP-11-2013_NODE_5569_length_682_cov_5_692562,Low coverage
BeeP-11-2013_NODE_5577_length_682_cov_2_256198,Low coverage
BeeP-11-2013_NODE_5592_length_681_cov_2_660596,Low coverage
BeeP-11-2013_NODE_5593_length_681_cov_2_294702,Low coverage
BeeP-11-2013_NODE_5601_length_681_cov_1_725166,Low coverage
BeeP-11-2013_NODE_5615_length_680_cov_1_517413,Low coverage
BeeP-11-2013_NODE_5618_length_680_cov_1_257048,Low coverage
BeeP-11-2013_NODE_5619_length_679_cov_6_275748,Low coverage
BeeP-11-2013_NODE_5625_length_679_cov_2_827243,Low coverage
BeeP-11-2013_NODE_5631_length_679_cov_1_830565,Low coverage
BeeP-11-2013_NODE_5635_length_679_cov_1_277409,Low coverage
BeeP-11-2013_NODE_5638_length_678_cov_8_405990,Low coverage
BeeP-11-2013_NODE_5640_length_678_cov_4_031614,Low coverage
BeeP-11-2013_NODE_5656_length_677_cov_2_385000,Low coverage
BeeP-11-2013_NODE_5690_length_675_cov_2_102007,Low coverage
BeeP-11-2013_NODE_5694_length_674_cov_4_107203,Low coverage
BeeP-11-2013_NODE_5695_length_674_cov_3_884422,Low coverage
BeeP-11-2013_NODE_5697_length_674_cov_3_482412,Low coverage
BeeP-11-2013_NODE_5699_length_674_cov_2_723618,Low coverage
BeeP-11-2013_NODE_5700_length_674_cov_2_355109,Low coverage
BeeP-11-2013_NODE_5702_length_674_cov_1_968174,Low coverage
BeeP-11-2013_NODE_5713_length_673_cov_2_520134,Low coverage
BeeP-11-2013_NODE_5717_length_673_cov_1_870805,Low coverage
BeeP-11-2013_NODE_5719_length_673_cov_1_600671,Low coverage
BeeP-11-2013_NODE_5735_length_672_cov_1_773109,Low coverage
BeeP-11-2013_NODE_5748_length_671_cov_1_742424,Low coverage
BeeP-11-2013_NODE_5750_length_670_cov_6_465430,Low coverage
BeeP-11-2013_NODE_5752_length_670_cov_4_229342,Low coverage
BeeP-11-2013_NODE_5756_length_670_cov_2_929174,Low coverage
BeeP-11-2013_NODE_5757_length_670_cov_2_569983,Low coverage
BeeP-11-2013_NODE_5761_length_670_cov_1_870152,Low coverage
BeeP-11-2013_NODE_5770_length_670_cov_1_062395,Low coverage
BeeP-11-2013_NODE_5771_length_669_cov_14_417230,Low coverage
BeeP-11-2013_NODE_5772_length_669_cov_10_645270,Low coverage
BeeP-11-2013_NODE_5775_length_669_cov_2_787162,Low coverage
BeeP-11-2013_NODE_5777_length_669_cov_2_457770,Low coverage
BeeP-11-2013_NODE_5782_length_668_cov_4_483926,Low coverage
BeeP-11-2013_NODE_5790_length_668_cov_2_730964,Low coverage
BeeP-11-2013_NODE_5791_length_668_cov_2_649746,Low coverage
BeeP-11-2013_NODE_5802_length_668_cov_1_358714,Low coverage
BeeP-11-2013_NODE_5812_length_667_cov_4_200000,Low coverage
BeeP-11-2013_NODE_5835_length_666_cov_2_528014,Low coverage
BeeP-11-2013_NODE_5836_length_666_cov_2_482173,Low coverage
BeeP-11-2013_NODE_5853_length_665_cov_2_670068,Low coverage
BeeP-11-2013_NODE_5854_length_665_cov_2_391156,Low coverage
BeeP-11-2013_NODE_5855_length_665_cov_1_795918,Low coverage
BeeP-11-2013_NODE_5864_length_664_cov_3_824532,Low coverage
BeeP-11-2013_NODE_5865_length_664_cov_3_339012,Low coverage
BeeP-11-2013_NODE_5878_length_663_cov_3_462457,Low coverage
BeeP-11-2013_NODE_5879_length_663_cov_3_375427,Low coverage
BeeP-11-2013_NODE_5880_length_663_cov_3_174061,Low coverage
BeeP-11-2013_NODE_5893_length_662_cov_4_275214,Low coverage
BeeP-11-2013_NODE_5913_length_661_cov_5_150685,Low coverage
BeeP-11-2013_NODE_5920_length_661_cov_2_037671,Low coverage
BeeP-11-2013_NODE_5922_length_661_cov_1_849315,Low coverage
BeeP-11-2013_NODE_5933_length_660_cov_4_427101,Low coverage
BeeP-11-2013_NODE_5935_length_660_cov_4_149228,Low coverage
BeeP-11-2013_NODE_5944_length_660_cov_1_780446,Low coverage
BeeP-11-2013_NODE_5949_length_659_cov_3_852234,Low coverage
BeeP-11-2013_NODE_5950_length_659_cov_3_395189,Low coverage
BeeP-11-2013_NODE_5954_length_659_cov_2_589347,Low coverage
BeeP-11-2013_NODE_5956_length_659_cov_2_573883,Low coverage
BeeP-11-2013_NODE_5964_length_659_cov_1_445017,Low coverage
BeeP-11-2013_NODE_5966_length_659_cov_1_328179,Low coverage
BeeP-11-2013_NODE_5973_length_658_cov_3_554217,Low coverage
BeeP-11-2013_NODE_5989_length_657_cov_3_325862,Low coverage
BeeP-11-2013_NODE_6008_length_656_cov_2_716753,Low coverage
BeeP-11-2013_NODE_6010_length_656_cov_2_563040,Low coverage
BeeP-11-2013_NODE_6014_length_656_cov_1_623489,Low coverage
BeeP-11-2013_NODE_6021_length_655_cov_3_621107,Low coverage
BeeP-11-2013_NODE_6034_length_655_cov_1_186851,Low coverage
BeeP-11-2013_NODE_6047_length_654_cov_1_480069,Low coverage
BeeP-11-2013_NODE_6053_length_653_cov_2_314236,Low coverage
BeeP-11-2013_NODE_6058_length_653_cov_1_565972,Low coverage
BeeP-11-2013_NODE_6062_length_653_cov_1_432292,Low coverage
BeeP-11-2013_NODE_6075_length_651_cov_3_686411,Low coverage
BeeP-11-2013_NODE_6093_length_650_cov_2_184991,Low coverage
BeeP-11-2013_NODE_6099_length_650_cov_1_589878,Low coverage
BeeP-11-2013_NODE_6108_length_649_cov_2_604895,Low coverage
BeeP-11-2013_NODE_6112_length_649_cov_2_493007,Low coverage
BeeP-11-2013_NODE_6118_length_649_cov_1_842657,Low coverage
BeeP-11-2013_NODE_6120_length_649_cov_1_784965,Low coverage
BeeP-11-2013_NODE_6141_length_648_cov_1_439580,Low coverage
BeeP-11-2013_NODE_6143_length_647_cov_9_424561,Low coverage
BeeP-11-2013_NODE_6150_length_647_cov_2_301754,Low coverage
BeeP-11-2013_NODE_6154_length_647_cov_1_745614,Low coverage
BeeP-11-2013_NODE_6160_length_646_cov_3_560633,Low coverage
BeeP-11-2013_NODE_6161_length_646_cov_2_949033,Low coverage
BeeP-11-2013_NODE_6163_length_646_cov_2_544815,Low coverage
BeeP-11-2013_NODE_6164_length_646_cov_2_326889,Low coverage
BeeP-11-2013_NODE_6169_length_646_cov_1_483304,Low coverage
BeeP-11-2013_NODE_6182_length_645_cov_1_767606,Low coverage
BeeP-11-2013_NODE_6191_length_644_cov_3_222222,Low coverage
BeeP-11-2013_NODE_6192_length_644_cov_3_121693,Low coverage
BeeP-11-2013_NODE_6194_length_644_cov_2_807760,Low coverage
BeeP-11-2013_NODE_6199_length_644_cov_1_610229,Low coverage
BeeP-11-2013_NODE_6210_length_643_cov_3_263251,Low coverage
BeeP-11-2013_NODE_6212_length_643_cov_3_053004,Low coverage
BeeP-11-2013_NODE_6219_length_643_cov_2_054770,Low coverage
BeeP-11-2013_NODE_6221_length_643_cov_1_591873,Low coverage
BeeP-11-2013_NODE_6231_length_642_cov_3_633628,Low coverage
BeeP-11-2013_NODE_6236_length_642_cov_2_368142,Low coverage
BeeP-11-2013_NODE_6244_length_642_cov_1_504425,Low coverage
BeeP-11-2013_NODE_6245_length_642_cov_1_497345,Low coverage
BeeP-11-2013_NODE_6255_length_641_cov_1_742908,Low coverage
BeeP-11-2013_NODE_6256_length_641_cov_1_540780,Low coverage
